lambda,alex_rouge,mathilde,a_c,m_e,alex_blanc,alex_bleu,,,,
689,0.08032412,0.074680875,0.021501832,0.03022977,0.087835498,0.042286602,,,,
690,0.078179228,0.071917342,0.020647131,0.03031524,0.085153365,0.040703371,,,,
691,0.074670885,0.069369519,0.01982499,0.018772709,0.080481,0.038928849,,,,
692,0.071227661,0.066325156,0.018888889,0.031259481,0.077998298,0.036755467,,,,
693,0.068712399,0.063549414,0.018262108,0.061719392,0.074294594,0.035656566,,,,
694,0.065440115,0.060993451,0.017480667,0.030600141,0.071290931,0.033898324,,,,
695,0.062444592,0.058331668,0.016634107,0.031308321,0.068230288,0.032652903,,,,
696,0.05981537,0.056215266,0.016178266,0.046237096,0.065837126,0.031627262,,,,
697,0.057495467,0.053610464,0.015299145,0.019448329,0.063061383,0.02999112,,,,
698,0.055606986,0.051608022,0.014403744,0.01029082,0.05983794,0.028721279,,,,
699,0.053295223,0.049312539,0.014216524,0.009102379,0.057802938,0.027597958,,,,
700,0.050674141,0.047432197,0.013597884,0.009403559,0.055092315,0.026726977,,,,
701,0.048671699,0.045625116,0.012840863,0.011495541,0.053317793,0.025164095,,,,
702,0.046652977,0.043231953,0.012482702,0.016281866,0.050835091,0.024390794,,,,
703,0.044691235,0.041921412,0.011864062,0.025903356,0.048637289,0.023454693,,,,
704,0.042762053,0.03971547,0.011481481,0.038634329,0.046659267,0.022608133,,,,
705,0.040572391,0.038177008,0.011025641,0.102769453,0.044599845,0.021509232,,,,
706,0.039489769,0.036728087,0.010577941,0.196314426,0.042849743,0.020931291,,,,
707,0.037226847,0.035336145,0.01026862,0.153766604,0.040977541,0.01995449,,,,
708,0.036372146,0.033586044,0.00977208,0.19993673,0.039284419,0.019254449,,,,
709,0.034166204,0.032242942,0.009430199,0.112439782,0.037355237,0.018595109,,,,
710,0.032814963,0.031233581,0.009015059,0.067686018,0.036028416,0.017886928,,,,
711,0.031317201,0.029418359,0.008795279,0.141996152,0.034603915,0.017105487,,,,
