Distance_(cm),Gray_Value
8.7761,118.333
8.7828,118.333
8.7895,118.333
8.7963,118.333
8.8030,118.333
8.8097,118.333
8.8164,118.333
8.8232,118.333
8.8299,118.333
8.8366,118.333
8.8433,118.333
8.8501,118.333
8.8568,118.333
8.8635,118.333
8.8702,118.333
8.8770,118.333
8.8837,118.333
8.8904,118.333
8.8971,118.333
8.9039,118.333
8.9106,118.333
8.9173,117.533
8.9240,116.545
8.9308,116.333
8.9375,116.333
8.9442,116.333
8.9509,116.333
8.9577,116.333
8.9644,116.333
8.9711,117.710
8.9778,119.333
8.9846,119.333
8.9913,119.333
8.9980,119.333
9.0047,119.333
9.0115,119.333
9.0182,119.333
9.0249,119.735
9.0316,120.333
9.0384,120.333
9.0451,120.333
9.0518,120.333
9.0585,120.333
9.0653,120.333
9.0720,120.333
9.0787,120.563
9.0854,121.000
9.0922,121.000
9.0989,121.000
9.1056,121.000
9.1123,121.000
9.1191,121.000
9.1258,121.000
9.1325,121.000
9.1392,121.000
9.1460,121.000
9.1527,121.000
9.1594,121.000
9.1661,121.000
9.1729,121.000
9.1796,121.000
9.1863,121.691
9.1930,124.000
9.1998,124.000
9.2065,124.000
9.2132,124.000
9.2199,124.000
9.2267,124.000
9.2334,124.000
9.2401,124.173
9.2468,125.000
9.2536,125.000
9.2603,125.000
9.2670,125.000
9.2737,125.000
9.2805,125.000
9.2872,125.000
9.2939,125.000
9.3006,125.000
9.3074,125.000
9.3141,125.000
9.3208,125.000
9.3275,125.111
9.3343,125.507
9.3410,125.904
9.3477,126.219
9.3544,125.188
9.3612,125.466
9.3679,125.743
9.3746,126.021
9.3813,126.298
9.3881,126.333
9.3948,126.333
9.4015,126.332
9.4082,125.008
9.4150,125.000
9.4217,125.000
9.4284,125.000
9.4351,125.000
9.4419,125.000
9.4486,125.000
9.4553,125.000
9.4620,124.063
9.4688,124.000
9.4755,124.000
9.4822,124.000
9.4889,124.000
9.4957,124.000
9.5024,124.000
9.5091,124.000
9.5158,124.000
9.5226,124.000
9.5293,124.000
9.5360,124.000
9.5427,124.000
9.5495,124.000
9.5562,124.000
9.5629,124.000
9.5696,123.178
9.5764,123.000
9.5831,123.000
9.5898,123.000
9.5965,123.000
9.6033,123.000
9.6100,123.000
9.6167,122.743
9.6234,123.177
9.6302,123.081
9.6369,123.000
9.6436,123.000
9.6503,123.000
9.6571,123.000
9.6638,123.000
9.6705,123.000
9.6772,123.000
9.6840,123.000
9.6907,123.000
9.6974,123.000
9.7041,123.000
9.7109,123.000
9.7176,123.000
9.7243,123.000
9.7310,124.302
9.7378,125.000
9.7445,125.000
9.7512,125.000
9.7579,125.000
9.7647,125.000
9.7714,125.000
9.7781,125.000
9.7848,125.074
9.7916,125.243
9.7983,125.362
9.8050,125.481
9.8117,125.600
9.8185,125.719
9.8252,125.838
9.8319,125.957
9.8386,126.536
9.8454,127.000
9.8521,127.000
9.8588,127.000
9.8655,127.000
9.8723,127.000
9.8790,127.000
9.8857,127.000
9.8924,126.521
9.8992,126.000
9.9059,126.000
9.9126,126.000
9.9193,126.000
9.9261,126.000
9.9328,126.000
9.9395,126.000
9.9462,126.141
9.9530,126.333
9.9597,126.333
9.9664,126.333
9.9731,126.333
9.9799,126.333
9.9866,126.333
9.9933,126.333
10.0000,125.969
10.0068,125.333
10.0135,125.333
10.0202,125.333
10.0269,125.333
10.0337,125.333
10.0404,125.333
10.0471,125.333
10.0538,125.333
10.0606,125.333
10.0673,125.333
10.0740,125.333
10.0807,125.333
10.0875,125.333
10.0942,125.333
10.1009,125.333
10.1076,125.333
10.1144,125.333
10.1211,125.333
10.1278,125.333
10.1345,125.333
10.1413,125.333
10.1480,125.333
10.1547,125.333
10.1614,125.140
10.1682,124.333
10.1749,124.333
10.1816,124.333
10.1883,124.333
10.1951,124.333
10.2018,124.333
10.2085,124.333
10.2152,124.333
10.2220,124.333
10.2287,124.333
10.2354,124.333
10.2421,124.333
10.2489,124.333
10.2556,124.333
10.2623,124.333
10.2690,124.333
10.2758,124.333
10.2825,124.333
10.2892,124.333
10.2959,124.333
10.3027,124.333
10.3094,124.333
10.3161,124.333
10.3228,124.333
10.3296,124.333
10.3363,124.333
10.3430,124.333
