Distance,Intensite
1811,108.394
1812,108.933
1813,108.856
1814,108.844
1815,108.833
1816,108.822
1817,108.333
1818,108.333
1819,108.333
1820,109.389
1821,111.000
1822,112.000
1823,112.128
1824,111.133
1825,109.000
1826,106.928
1827,102.742
1828,100.667
1829,98.989
1830,98.833
1831,98.678
1832,99.844
1833,100.608
1834,101.811
1835,102.139
1836,103.933
1837,105.256
1838,108.050
1839,111.250
1840,114.333
1841,116.853
1842,118.917
1843,119.114
1844,118.233
1845,116.417
1846,113.722
1847,110.158
1848,106.333
1849,100.972
1850,95.806
1851,91.392
1852,91.456
1853,95.194
1854,100.750
1855,105.986
1856,108.444
1857,109.750
1858,108.550
1859,106.672
1860,102.667
1861,100.158
1862,97.344
1863,95.367
1864,93.489
1865,92.056
1866,91.400
1867,89.783
1868,87.944
1869,86.917
1870,86.556
1871,86.456
1872,88.200
1873,90.811
1874,92.667
1875,95.250
1876,98.122
1877,101.000
1878,103.233
1879,105.667
1880,107.667
1881,108.333
1882,108.544
1883,109.436
1884,108.300
1885,107.389
1886,106.900
1887,106.400
1888,107.044
1889,107.764
1890,109.000
1891,110.311
1892,111.878
1893,113.450
1894,114.622
1895,113.944
1896,113.800
1897,112.461
1898,111.850
1899,111.392
1900,110.444
1901,108.439
1902,105.000
1903,102.192
1904,99.667
1905,97.750
1906,97.822
1907,99.144
1908,101.667
1909,103.908
1910,104.944
1911,104.900
1912,104.911
1913,105.000
1914,105.667
1915,105.694
1916,106.711
1917,106.708
1918,108.367
1919,109.689
1920,112.333
1921,112.961
1922,112.922
1923,112.208
1924,109.533
1925,106.208
1926,102.267
1927,100.294
1928,98.378
1929,98.483
1930,99.833
1931,101.394
1932,101.800
1933,103.072
1934,104.039
1935,105.292
1936,104.244
1937,102.667
1938,100.333
1939,97.000
1940,93.667
1941,92.350
1942,93.700
1943,96.128
1944,99.000
1945,101.528
1946,101.522
1947,101.667
1948,102.589
1949,102.667
1950,103.500
1951,103.839
1952,105.000
1953,105.183
1954,106.478
1955,106.667
1956,106.667
1957,106.667
1958,106.667
1959,106.433
1960,106.111
1961,105.228
1962,102.917
1963,102.717
1964,102.856
1965,103.333
1966,104.817
1967,105.856
1968,106.800
1969,108.606
1970,108.667
1971,109.383
1972,109.089
1973,109.450
1974,108.950
1975,108.264
1976,106.778
1977,105.417
1978,105.389
1979,105.361
1980,105.667
1981,105.317
1982,104.978
1983,105.317
1984,105.667
1985,106.389
1986,107.217
1987,107.225
1988,107.611
1989,106.958
1990,106.028
1991,104.911
1992,103.400
1993,102.492
1994,101.900
1995,102.167
1996,102.633
1997,103.667
1998,105.200
1999,106.106
2000,106.333
2001,106.550
2002,107.667
2003,107.667
2004,108.533
2005,109.194
2006,109.000
2007,108.033
2008,107.844
2009,109.172
2010,110.750
2011,112.656
2012,113.722
2013,113.300
2014,112.406
2015,110.472
2016,107.333
2017,104.178
2018,102.094
2019,101.075
2020,100.000
2021,100.544
2022,101.583
2023,102.283
2024,103.222
2025,104.000
2026,105.900
2027,105.289
2028,105.200
2029,104.547
2030,105.194
2031,105.225
2032,105.111
2033,105.078
2034,102.783
2035,98.444
2036,92.744
2037,86.383
2038,83.350
2039,81.661
2040,80.667
2041,79.364
2042,78.422
2043,78.775
2044,79.156
2045,78.528
2046,79.817
2047,79.803
2048,79.111
2049,80.000
2050,82.000
2051,83.333
2052,85.333
2053,86.739
2054,89.744
2055,91.083
2056,92.422
2057,94.428
2058,100.200
2059,106.581
2060,110.167
2061,110.050
2062,105.161
2063,95.675
2064,85.600
2065,79.569
2066,75.489
2067,75.125
2068,79.167
2069,86.300
2070,93.500
2071,100.119
2072,103.711
2073,104.400
2074,105.328
2075,104.681
2076,106.067
2077,106.539
2078,107.878
2079,108.550
2080,110.556
2081,110.228
2082,108.667
2083,104.333
2084,97.000
2085,93.583
2086,91.844
2087,92.058
2088,93.400
2089,94.817
2090,96.306
2091,98.092
2092,98.478
2093,98.039
2094,98.133
2095,97.653
2096,96.444
2097,95.608
2098,93.678
2099,93.164
2100,92.667
2101,93.356
2102,94.378
2103,94.400
2104,93.178
2105,91.375
2106,90.533
2107,89.728
2108,90.078
2109,90.975
2110,94.056
2111,98.131
2112,102.533
2113,108.481
2114,111.044
2115,110.250
2116,103.278
2117,94.069
2118,89.500
2119,86.975
2120,87.222
2121,89.258
2122,92.611
2123,95.511
2124,98.200
2125,99.931
2126,100.961
2127,101.267
2128,100.556
2129,100.000
2130,101.667
2131,103.656
2132,103.878
2133,98.083
2134,87.839
